,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
993,MEM3008,No tiene,No tiene,No tiene,No tiene
994,MEM3007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
995,MEM3002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
996,MEM3003,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
997,MEM3001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
998,MEK401A,(MEK203A),No tiene,No tiene,No tiene
999,MEK302B,KIN202,No tiene,No tiene,(MEK302A)
1000,MEK301A,(KIN202),No tiene,No tiene,No tiene
1001,MEK202A,BIO135C o BIO135F o BIO135K o BIO135N,No tiene,No tiene,No tiene
1002,MEK201A,MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEF103A o MEN201A)
1003,MEK101B,No tiene,No tiene,No tiene,No tiene
1004,MEK102,No tiene,No tiene,No tiene,No tiene
1005,MEI1020,No tiene,No tiene,No tiene,No tiene
1006,MEI1000,No tiene,No tiene,No tiene,No tiene
1007,MEH3002,No tiene,No tiene,No tiene,No tiene
1008,MEH3000,No tiene,No tiene,No tiene,No tiene
1009,MEF302B,(FON101),No tiene,No tiene,(MEF302A)
1010,MEF301A,(FON102),No tiene,No tiene,No tiene
1011,MEF201A,BIO135C o BIO135F o BIO135K o BIO135N,No tiene,No tiene,No tiene
1012,MEF101A,No tiene,No tiene,No tiene,No tiene
1013,MED843,No tiene,No tiene, (Nivel = Pregrado),No tiene
1014,MED841,No tiene,No tiene,No tiene,No tiene
1015,MED831,MED309A o MED302A,No tiene,No tiene,No tiene
1016,MED837,No tiene,No tiene, (Nivel = Pregrado),No tiene
1017,MED829,No tiene,No tiene,No tiene,No tiene
1018,MED828,No tiene,No tiene,No tiene,No tiene
1019,MED825,No tiene,No tiene,No tiene,No tiene
1020,MED818B,No tiene,No tiene,No tiene,No tiene
1021,MED818A,No tiene,No tiene,No tiene,No tiene
1022,MED817B,No tiene,No tiene,No tiene,No tiene
1023,MED817A,No tiene,No tiene,No tiene,No tiene
1024,MED816B,(MED819),No tiene,No tiene,No tiene
1025,MED816A,(MED819),No tiene,No tiene,No tiene
1026,MED815A,(MED811),No tiene,No tiene,No tiene
1027,MED814A,No tiene,No tiene,No tiene,No tiene
1028,MED813A,(MED819),No tiene,No tiene,No tiene
1029,MED812A,(MED811),No tiene,No tiene,No tiene
1030,MED612A,No tiene,No tiene, (Carrera = Medicina),No tiene
1031,MED610A,No tiene,No tiene, (Carrera = Medicina),No tiene
1032,MED611A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED708A)
1033,MED609A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED708A)
1034,MED608A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED707A)
1035,MED607A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED704B o MED708A)
1036,MED606A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED704B)
1037,MED605A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED701D)
1038,MED604B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED604A)
1039,MED603B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED603A)
1040,MED602B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED602A)
1041,MED601B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED601A)
1042,MED509A,(MED406A),No tiene,No tiene,No tiene
1043,MED508A,MED407A y MED408A y MED409A,No tiene,No tiene,(MED507A o MED705B o MED706B)
1044,MED505B,MED404A y MED405A,No tiene,No tiene,(MED505A)
1045,MED504B,MED404A y MED405A,No tiene,No tiene,(MED504A)
1046,MED405A,MED312A y (MED309A o MED302A),No tiene,No tiene,No tiene
1047,MED403A,(MED302A y MED305A) o ODO306A,No tiene,No tiene,(MED207A)
1048,MED404A,MED302A o MED309A,No tiene,No tiene,(MED302A)
1049,MED311A,MED210A y MED213A,No tiene,No tiene,No tiene
1050,MED310B,MED214A y MED213A,y, (Carrera = Medicina),No tiene
1051,MED307B,(BIO252M y MED211A) o (BIO252M y MED303A) o (BIO254M y MED211A) o (BIO254M y MED303A) o (BIO256M y MED211A) o (BIO256M y MED303A) o MED214A,No tiene,No tiene,(MED307A)
1052,MED308A,(MED206A y MED207A y MED208A y MED211A y MED213A) o (MED206A y MED207A y MED208A y MED213A y MED214A),No tiene,No tiene,(MED301A)
1053,MED306B,(BIO238M y MED208A) o (BIO239M y MED208A),No tiene,No tiene,(MED306A)
1054,MED304A,BIO242C o MEB220F o MED104A o MED104B o EYP2310 o MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEB230 o MED206A)
1055,MED3002,No tiene,No tiene,No tiene,No tiene
1056,MED301O,(BIO238C y BIO206O) o (BIO238C y MED203O) o (BIO238M y BIO206O) o (BIO238M y MED203O) o (BIO239M y BIO206O) o (BIO239M y MED203O),No tiene,No tiene,No tiene
1057,MED3000,No tiene,No tiene,No tiene,No tiene
1058,MED212A,MED111A,No tiene,No tiene,No tiene
1059,MED209A,(MED110A),No tiene,No tiene,No tiene
1060,MED208A,BIO238M o BIO239M,No tiene,No tiene,No tiene
1061,MED207A,MED105A o MED108A o MED105B,No tiene,No tiene,(MED403A)
1062,MED206A,MED104A o MED104B,No tiene,No tiene,(MED304A)
1063,MED109A,No tiene,No tiene,No tiene,(MED202A)
1064,MED203O,(MED102O y QIM200) o (MED102O y QIM201),No tiene,No tiene,(BIO206O)
1065,MED107A,No tiene,No tiene,No tiene,(MED103A)
1066,MED104A,No tiene,No tiene,No tiene,(BIO242C o MEB220F o MED104B)
1067,MEC284,No tiene,No tiene,No tiene,No tiene
1068,MED101O,No tiene,No tiene,No tiene,No tiene
1069,MEB280,No tiene,No tiene,No tiene,No tiene
